Sample,Family,Genus,Species,Count,Length,Code,Filename,Frame,Time (mins),Precision (mm),RMS (mm),Range (mm),Direction (deg),Comment,Stage,Activity,Length_Comment
ARCO02_1512,Sparidae,Pagrus,auratus,1,178.472,37353001,AROC02_1512_L.avi,30318,10.106,0.675,0.901,834.893,11.863,,AD,Passing,
ARCO02_1512,Sparidae,Pagrus,auratus,1,178.074,37353001,AROC02_1512_L.avi,47142,15.714,2.878,2.711,1668.425,26.441,,AD,Passing,
ARCO02_1512,Sparidae,Pagrus,auratus,1,175.627,37353001,AROC02_1512_L.avi,47649,15.883,3.531,3.406,1901.908,2.985,,AD,Passing,
ARCO02_1512,Sparidae,Pagrus,auratus,1,182.83,37353001,AROC02_1512_L.avi,47649,15.883,1.676,2.247,1709.628,8.133,,AD,Passing,
ARCO02_1512,Sparidae,Pagrus,auratus,1,170.626,37353001,AROC02_1512_L.avi,47649,15.883,3.937,0.974,1907.878,23.674,,AD,Passing,
ARCO02_1512,Sparidae,Pagrus,auratus,1,192.174,37353001,AROC02_1512_L.avi,65002,21.6673,2.836,5.148,1906.97,16.233,,AD,Passing,
ARCO02_1512,Sparidae,Pagrus,auratus,1,176.165,37353001,AROC02_1512_L.avi,65002,21.6673,2.804,1.517,1600.437,23.181,,AD,Passing,
ARCO02_1512,Sparidae,Pagrus,auratus,1,187.949,37353001,AROC02_1512_L.avi,107902,35.9673,1.769,1.205,1231.025,10.585,,AD,Passing,
ARCO02_1512,Pinguipedidae,Parapercis,ramsayi,1,172.05,37390002,AROC02_1512_L.avi,24962,8.3207,2.987,2.877,1950.68,24.859,,AD,Passing,
ARCO02_1512,Carangidae,Pseudocaranx,sp,1,217.343,37337924,AROC02_1512_L.avi,28613,9.5377,3.392,2.107,1334.015,24.701,,AD,Passing,
ARCO02_1512,Carangidae,Pseudocaranx,sp,1,207.603,37337924,AROC02_1512_L.avi,28629,9.543,2.28,1.346,1714.9,4.963,,AD,Passing,
ARCO02_1512,Carangidae,Pseudocaranx,sp,1,230.192,37337924,AROC02_1512_L.avi,28635,9.545,1.598,2.933,1787.437,5.255,,AD,Passing,
ARCO01_1512,Labridae,Austrolabrus,maculatus,1,91.702,37384025,AROC01_1512_L.avi,37985,12.6617,0.738,1.223,857.329,25.821,,AD,Passing,
ARCO01_1512,Labridae,Austrolabrus,maculatus,1,110.337,37384025,AROC01_1512_L.avi,37985,12.6617,0.84,1.647,859.681,17.784,,AD,Passing,
ARCO01_1512,Heterodontidae,Heterodontus,portusjacksoni,1,353.511,37007001,AROC01_1512_L.avi,189659,63.2197,3.529,6.105,2281.906,15.748,,AD,Passing,
ARCO01_1512,Monacanthidae,Meuschenia,galii,1,221.868,37465040,AROC01_1512_L.avi,157106,52.3687,2.383,1.853,1185.681,27.435,,AD,Passing,
