Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comments
AR_BTC_R1,-35.26880073,138.4383387,20161119,8:04:00,Aldinga Reef,No-take,Aldinga Reef,14,TClarke,Yes,No,NA
AR_BTC_R2,-35.27029876,138.4363727,20161119,8:19:00,Aldinga Reef,No-take,Aldinga Reef,13.9,TClarke,Yes,No,NA
AR_BTC_R3,-35.27276888,138.4359436,20161119,8:30:00,Aldinga Reef,No-take,Aldinga Reef,9.9,TClarke,Yes,No,NA
AR_BTC_R4,-35.26810887,138.4348278,20161120,7:58:00,Aldinga Reef,No-take,Aldinga Reef,12,TClarke,Yes,No,NA
AR_BTC_R5,-35.27028124,138.435214,20161120,8:13:00,Aldinga Reef,No-take,Aldinga Reef,15,TClarke,Yes,No,NA
AR_BTC_R6,-35.27208566,138.4353428,20161120,8:25:00,Aldinga Reef,No-take,Aldinga Reef,12,TClarke,Yes,No,NA
AR_CTC_R1_B,-35.26726794,138.4348063,20161119,11:16:00,Aldinga Reef,No-take,Aldinga Reef,11.9,TClarke,Yes,No,NA
AR_CTC_R2_B,-35.26873957,138.4340553,20161119,11:25:00,Aldinga Reef,No-take,Aldinga Reef,16,TClarke,Yes,No,NA
AR_CTC_R3_B,-35.27199807,138.4340982,20161119,11:33:00,Aldinga Reef,No-take,Aldinga Reef,14.5,TClarke,Yes,No,NA
AR_CTC_R4_B,-35.26511302,138.4304075,20161120,11:13:00,Aldinga Reef,No-take,Aldinga Reef,10,TClarke,Yes,No,NA
AR_CTC_R5_B,-35.26830158,138.4313731,20161120,11:19:00,Aldinga Reef,No-take,Aldinga Reef,13,TClarke,Yes,No,NA
AR_CTC_R6_B,-35.27085936,138.43118,20161120,11:25:00,Aldinga Reef,No-take,Aldinga Reef,14,TClarke,Yes,No,NA
BTC_LS_R1,-34.60034833,138.1163334,20170106,11:06:00,Long Spit,Fished,Long Spit,6.9,TClarke,Yes,No,NA
BTC_LS_R2,-34.59983411,138.1223305,20170106,11:24:00,Long Spit,Fished,Long Spit,7.1,TClarke,Yes,No,NA
BTC_LS_R3,-34.59942274,138.1340749,20170106,11:32:00,Long Spit,Fished,Long Spit,7,TClarke,Yes,No,NA
BTC_LS_R4,-34.60482183,138.1160211,20170116,8:18:00,Long Spit,Fished,Long Spit,8,TClarke,Yes,No,NA
BTC_LS_R5,-34.60533601,138.1261412,20170116,8:29:00,Long Spit,Fished,Long Spit,7.5,TClarke,Yes,No,NA
BTC_LS_R6,-34.60466758,138.1381979,20170116,8:40:00,Long Spit,Fished,Long Spit,7.4,TClarke,Yes,No,NA
CTC_LS_R1_B,-34.61130028,138.1162709,20170106,8:13:00,Long Spit,Fished,Long Spit,7,TClarke,Yes,No,NA
CTC_LS_R2_B,-34.61094038,138.1257664,20170106,8:23:00,Long Spit,Fished,Long Spit,7.5,TClarke,Yes,No,NA
CTC_LS_R3_B,-34.61063189,138.146194,20170106,8:30:00,Long Spit,Fished,Long Spit,7.4,TClarke,Yes,No,NA
CTC_LS_R4_B,-34.61659577,138.1156462,20170116,11:21:00,Long Spit,Fished,Long Spit,6.2,TClarke,Yes,No,NA
CTC_LS_R5_B,-34.61669859,138.1260787,20170116,11:27:00,Long Spit,Fished,Long Spit,6.1,TClarke,Yes,No,NA
CTC_LS_R6_B,-34.61525908,138.1468187,20170116,11:31:00,Long Spit,Fished,Long Spit,6.1,TClarke,Yes,No,NA
BTC_OB_R1,-35.39180846,137.1332653,20170203,8:40:00,Orcades Bank,No-take,Orcades Bank,39,TClarke,Yes,No,NA
BTC_OB_R2,-35.3917545,137.1396521,20170203,9:05:00,Orcades Bank,No-take,Orcades Bank,39,TClarke,Yes,No,NA
BTC_OB_R3,-35.39159264,137.1468993,20170203,9:32:00,Orcades Bank,No-take,Orcades Bank,38.8,TClarke,Yes,No,NA
BTC_OB_R4,-35.39453311,137.1332156,20170204,11:36:00,Orcades Bank,No-take,Orcades Bank,38.4,TClarke,Yes,No,NA
BTC_OB_R5,-35.39406102,137.1400657,20170204,11:41:00,Orcades Bank,No-take,Orcades Bank,37.5,TClarke,Yes,No,NA
BTC_OB_R6,-35.39383172,137.1469986,20170204,12:18:00,Orcades Bank,No-take,Orcades Bank,38.7,TClarke,Yes,No,NA
CTC_OB_R1_B,-35.39663722,137.1329178,20170203,12:20:00,Orcades Bank,No-take,Orcades Bank,38.5,TClarke,Yes,No,NA
CTC_OB_R2_B,-35.39647537,137.1406945,20170203,12:45:00,Orcades Bank,No-take,Orcades Bank,38,TClarke,Yes,No,NA
CTC_OB_R3_B,-35.3971093,137.1489676,20170203,12:55:00,Orcades Bank,No-take,Orcades Bank,39,TClarke,Yes,No,NA
CTC_OB_R4_B,-35.40014397,137.1334307,20170204,8:34:00,Orcades Bank,No-take,Orcades Bank,38,TClarke,Yes,No,NA
CTC_OB_R5_B,-35.39991469,137.1401319,20170204,8:55:00,Orcades Bank,No-take,Orcades Bank,38.5,TClarke,Yes,No,NA
CTC_OB_R6_B,-35.40006305,137.1488517,20170204,9:06:00,Orcades Bank,No-take,Orcades Bank,38.4,TClarke,Yes,No,NA
