OpCode	PointIndex	Filename	Frame	Time	Period	PeriodTime	ImageCol	ImageRow	RectWidth	RectHeight	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute	Attribute
AR_BTC_R1	39	BTC_R1.avi	99091	33.03033		-1	959.41212	417.1926	0	0	Carangidae	Pseudocaranx		37337924	19	AD	Passing			
AR_BTC_R1	40	BTC_R1.avi	123709	41.23633		-1	1012.32088	578.19369	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Feeding			
AR_BTC_R1	41	BTC_R1.avi	124320	41.44		-1	1018.19963	578.19369	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
AR_BTC_R1	42	BTC_R1.avi	124320	41.44		-1	808.91611	989.51034	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
AR_BTC_R1	43	BTC_R1.avi	125351	41.78367		-1	163.42927	631.07726	0	0	Sphyraenidae	Sphyraena	novaehollandiae	37382002	2	AD	Passing			
AR_BTC_R1	44	BTC_R1.avi	141467	47.15567		-1	1560.22045	555.86507	0	0	Carangidae	Pseudocaranx		37337924	23	AD	Passing			
AR_BTC_R1	45	BTC_R1.avi	153526	51.17533		-1	1484.97244	424.24374	0	0	Carangidae	Pseudocaranx		37337924	31	AD	Passing			
AR_BTC_R1	46	BTC_R1.avi	177486	59.162		-1	345.67055	12.92709	0	0	Arripidae	Arripis	georgianus	37344001	1	AD	Passing			
AR_BTC_R1	47	BTC_R1.avi	177486	59.162		-1	215.16228	98.716	0	0	Arripidae	Arripis	georgianus	37344001	1	AD	Passing			
AR_BTC_R1	48	BTC_R1.avi	177486	59.162		-1	288.05879	325.52775	0	0	Arripidae	Arripis	georgianus	37344001	1	AD	Passing			
AR_BTC_R1	49	BTC_R1.avi	177486	59.162		-1	14.109	263.24266	0	0	Arripidae	Arripis	georgianus	37344001	1	AD	Passing			
AR_BTC_R1	50	BTC_R1.avi	178149	59.383		-1	343.31904	943.67791	0	0	Labridae	Notolabrus	parilus	99379455	1	AD	Passing			
AR_BTC_R1	51	BTC_R1.avi	179708	59.90267		-1	1509.6632	983.63439	0	0	Heterodontidae	Heterodontus	portusjacksoni	37007001	1	AD	Passing			
AR_BTC_R1	52	BTC_R1.avi	184768	61.58933		-1	1088.74464	626.3765	0	0	Heterodontidae	Heterodontus	portusjacksoni	37007001	1	AD	Feeding			
AR_BTC_R1	53	BTC_R1.avi	185241	61.747		-1	651.36558	551.16431	0	0	Carangidae	Pseudocaranx		37337924	38	AD	Passing			
AR_BTC_R1	54	BTC_R1.avi	207695	69.23167		-1	1074.63564	645.17954	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
AR_BTC_R1	55	BTC_R1.avi	207695	69.23167		-1	1012.32088	611.09902	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
AR_BTC_R1	56	BTC_R1.avi	207695	69.23167		-1	1021.72688	450.09793	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
AR_BTC_R1	57	BTC_R1.avi	217246	72.41533		-1	1029.95713	591.12078	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
AR_BTC_R1	58	BTC_R1.avi	217246	72.41533		-1	987.63013	581.71926	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
AR_BTC_R1	59	BTC_R1.avi	217246	72.41533		-1	852.41886	533.53645	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
AR_BTC_R1	60	BTC_R1.avi	217246	72.41533		-1	463.24556	860.23939	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
AR_BTC_R1	61	BTC_R1.avi	268219	89.40633		-1	750.1286	860.23939	0	0	Kyphosidae	Kyphosus	sydneyanus	37361001	1	AD	Attracted			
AR_BTC_R1	62	BTC_R1.avi	301920	100.64		-1	925.31537	414.84222	0	0	Cheilodactylidae	Dactylophora	nigricans	37377005	1	AD	Passing			
AR_BTC_R1	63	BTC_R1.avi	363677	121.22567		-1	1238.06491	641.65397	0	0	Mullidae	Upeneichthys	vlamingii	37355029	2	AD	Passing			
AR_BTC_R2	0	BTC_R2.avi	7328	2.44267		-1	1329.77342	573.49293	0	0	Labridae	Notolabrus	parilus	99379455	1	AD	Passing			
AR_BTC_R2	1	BTC_R2.avi	8391	2.797		-1	1454.40294	876.69206	0	0	Labridae	Austrolabrus	maculatus	37384025	2	AD	Passing			
AR_BTC_R2	2	BTC_R2.avi	14140	4.71333		-1	1231.01041	658.10664	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Attracted			
AR_BTC_R2	3	BTC_R2.avi	15144	5.048		-1	1329.77342	566.44178	0	0	Carangidae	Pseudocaranx		37337924	2	AD	Attracted			
AR_BTC_R2	4	BTC_R2.avi	15867	5.289		-1	881.81261	600.52231	0	0	Mullidae	Upeneichthys	vlamingii	37355029	1	AD	Passing			
AR_BTC_R2	5	BTC_R2.avi	22027	7.34233		-1	1700.13472	654.58107	0	0	Scorpididae	Scorpis	aequipinnis	37361004	1	AD	Passing			
AR_BTC_R2	6	BTC_R2.avi	22067	7.35567		-1	1107.55664	525.31012	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R2	7	BTC_R2.avi	22067	7.35567		-1	840.66136	592.29597	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R2	8	BTC_R2.avi	22067	7.35567		-1	857.12186	497.10555	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R2	9	BTC_R2.avi	22067	7.35567		-1	792.4556	464.20022	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R2	10	BTC_R2.avi	22280	7.42667		-1	1497.9057	626.3765	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R2	11	BTC_R2.avi	22280	7.42667		-1	1025.25413	371.36017	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R2	12	BTC_R2.avi	22280	7.42667		-1	771.2921	581.71926	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R2	13	BTC_R2.avi	22280	7.42667		-1	574.94182	555.86507	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R2	14	BTC_R2.avi	22280	7.42667		-1	496.16656	337.27965	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Passing			
AR_BTC_R2	15	BTC_R2.avi	28344	9.448		-1	384.4703	553.51469	0	0	Mullidae	Upeneichthys	vlamingii	37355029	1	AD	Passing			
AR_BTC_R2	16	BTC_R2.avi	28344	9.448		-1	277.47704	587.59521	0	0	Mullidae	Upeneichthys	vlamingii	37355029	1	AD	Passing			
AR_BTC_R2	17	BTC_R2.avi	28920	9.64		-1	1240.41641	497.10555	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Attracted			
AR_BTC_R2	18	BTC_R2.avi	30498	10.166		-1	1140.47765	286.74646	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
AR_BTC_R2	19	BTC_R2.avi	30498	10.166		-1	935.89712	676.90968	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	2	AD	Feeding			
AR_BTC_R2	20	BTC_R2.avi	34491	11.497		-1	1088.74464	683.96083	0	0	Monacanthidae	Acanthaluteres	brownii	37465001	1	AD	Feeding			
AR_BTC_R2	21	BTC_R2.avi	36097	12.03233		-1	1072.28414	588.7704	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Feeding			
AR_BTC_R2	22	BTC_R2.avi	40662	13.554		-1	1515.54195	658.10664	0	0	Labridae	Notolabrus	tetricus	37384003	1	M	Passing			
AR_BTC_R2	23	BTC_R2.avi	54942	18.314		-1	510.27557	527.6605	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R2	24	BTC_R2.avi	54942	18.314		-1	1606.07471	592.29597	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R2	25	BTC_R2.avi	56407	18.80233		-1	1075.81139	457.14908	0	0	Carangidae	Pseudocaranx		37337924	10	AD	Feeding			
AR_BTC_R2	26	BTC_R2.avi	62000	20.66667		-1	1704.83772	691.01197	0	0	Scorpididae	Tilodon	sexfasciatus	37361003	1	AD	Passing			
AR_BTC_R2	27	BTC_R2.avi	66622	22.20733		-1	1019.37538	385.46246	0	0	Carangidae	Pseudocaranx		37337924	13	AD	Passing			
AR_BTC_R2	28	BTC_R2.avi	74349	24.783		-1	1135.77465	528.83569	0	0	Labridae	Notolabrus	parilus	99379455	1	AD	Passing			
AR_BTC_R2	29	BTC_R2.avi	74349	24.783		-1	362.13105	587.59521	0	0	Labridae	Notolabrus	parilus	99379455	1	AD	Passing			
AR_BTC_R2	30	BTC_R2.avi	81245	27.08167		-1	1621.35946	748.5963	0	0	Cheilodactylidae	Cheilodactylus	nigripes	37377001	1	AD	Passing			
AR_BTC_R2	31	BTC_R2.avi	97309	32.43633		-1	751.30435	259.71708	0	0	Carangidae	Pseudocaranx		37337924	16	AD	Passing			
AR_BTC_R2	32	BTC_R2.avi	101034	33.678		-1	850.06736	640.47878	0	0	Heterodontidae	Heterodontus	portusjacksoni	37007001	1	AD	Feeding			
AR_BTC_R2	33	BTC_R2.avi	101345	33.78167		-1	363.3068	309.07508	0	0	Carangidae	Pseudocaranx		37337924	18	AD	Passing			
AR_BTC_R2	34	BTC_R2.avi	103127	34.37567		-1	1760.09798	513.55822	0	0	Carangidae	Pseudocaranx		37337924	21	AD	Passing			
AR_BTC_R2	35	BTC_R2.avi	105529	35.17633		-1	1263.93141	269.11861	0	0	Carangidae	Pseudocaranx		37337924	32	AD	Passing			
AR_BTC_R2	36	BTC_R2.avi	119487	39.829		-1	560.83282	500.63112	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R2	37	BTC_R2.avi	119487	39.829		-1	96.41151	490.05441	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R2	38	BTC_R2.avi	119487	39.829		-1	64.66626	538.23721	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R2	39	BTC_R2.avi	124401	41.467		-1	1609.60196	674.5593	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R2	40	BTC_R2.avi	124401	41.467		-1	245.73178	390.16322	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R2	41	BTC_R2.avi	124401	41.467		-1	63.49051	392.5136	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R2	42	BTC_R2.avi	124401	41.467		-1	313.92529	487.70403	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R2	43	BTC_R2.avi	126925	42.30833		-1	1085.21739	714.51578	0	0	Heterodontidae	Heterodontus	portusjacksoni	37007001	1	AD	Passing			
AR_BTC_R2	44	BTC_R2.avi	126925	42.30833		-1	781.87385	718.04135	0	0	Heterodontidae	Heterodontus	portusjacksoni	37007001	1	AD	Passing			
AR_BTC_R2	45	BTC_R2.avi	128012	42.67067		-1	1290.97367	903.72144	0	0	Labridae	Notolabrus	parilus	99379455	1	AD	Passing			
AR_BTC_R2	46	BTC_R2.avi	128012	42.67067		-1	687.81384	800.30468	0	0	Labridae	Notolabrus	parilus	99379455	1	AD	Passing			
AR_BTC_R2	47	BTC_R2.avi	128012	42.67067		-1	151.67177	578.19369	0	0	Labridae	Notolabrus	parilus	99379455	1	AD	Passing			
AR_BTC_R2	48	BTC_R2.avi	130620	43.54		-1	74.07226	427.76931	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R2	49	BTC_R2.avi	130620	43.54		-1	172.83527	481.82807	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R2	50	BTC_R2.avi	130620	43.54		-1	82.30251	604.04788	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R2	51	BTC_R2.avi	130620	43.54		-1	510.27557	607.57345	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R2	52	BTC_R2.avi	130620	43.54		-1	716.03184	582.89445	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R2	53	BTC_R2.avi	130642	43.54733		-1	1760.09798	719.21654	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R2	54	BTC_R2.avi	130642	43.54733		-1	685.46234	584.06964	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R2	55	BTC_R2.avi	130642	43.54733		-1	450.31231	600.52231	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R2	56	BTC_R2.avi	130642	43.54733		-1	348.02205	477.12731	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R2	57	BTC_R2.avi	130642	43.54733		-1	50.55726	394.86398	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R2	58	BTC_R2.avi	130642	43.54733		-1	52.90876	611.09902	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R2	59	BTC_R2.avi	147775	49.25833		-1	1193.38641	676.90968	0	0	Heterodontidae	Heterodontus	portusjacksoni	37007001	1	AD	Passing			
AR_BTC_R2	60	BTC_R2.avi	147775	49.25833		-1	886.51562	680.43526	0	0	Heterodontidae	Heterodontus	portusjacksoni	37007001	1	AD	Passing			
AR_BTC_R2	61	BTC_R2.avi	147775	49.25833		-1	1033.48438	553.51469	0	0	Heterodontidae	Heterodontus	portusjacksoni	37007001	1	AD	Passing			
AR_BTC_R2	62	BTC_R2.avi	197118	65.706		-1	643.13533	364.30903	0	0	Kyphosidae	Kyphosus	sydneyanus	37361001	1	AD	Passing			
AR_BTC_R2	63	BTC_R2.avi	207254	69.08467		-1	1088.74464	170.40261	0	0	Carangidae	Pseudocaranx		37337924	39	AD	Passing			
AR_BTC_R2	64	BTC_R2.avi	211863	70.621		-1	1559.0447	522.95974	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
AR_BTC_R2	65	BTC_R2.avi	211863	70.621		-1	987.63013	451.27312	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
AR_BTC_R2	66	BTC_R2.avi	211863	70.621		-1	867.70361	676.90968	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
AR_BTC_R2	67	BTC_R2.avi	211863	70.621		-1	911.20637	366.65941	0	0	Monacanthidae	Meuschenia	hippocrepis	37465004	1	AD	Passing			
AR_BTC_R2	68	BTC_R2.avi	237096	79.032		-1	215.16228	191.55604	0	0	Pempherididae	Pempheris	klunzingeri	37357003	1	AD	Passing			
AR_BTC_R2	69	BTC_R2.avi	303776	101.25867		-1	1591.96571	936.62677	0	0	Pomacentridae	Parma	victoriae	37372006	1	AD	Passing			
AR_BTC_R3	0	BTC_R3(2).avi	3506	1.16867		-1	1808.30374	491.2296	0	0	Carangidae	Pseudocaranx		37337924	10	AD	Passing			
AR_BTC_R3	1	BTC_R3(2).avi	4583	1.52767		-1	1455.57869	455.97388	0	0	Carangidae	Pseudocaranx		37337924	14	AD	Passing			
AR_BTC_R3	2	BTC_R3(2).avi	5031	1.677		-1	1599.02021	365.48422	0	0	Carangidae	Pseudocaranx		37337924	19	AD	Passing			
AR_BTC_R3	3	BTC_R3(2).avi	23639	7.87967		-1	962.93938	473.60174	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R3	4	BTC_R3(2).avi	24104	8.03467		-1	1205.14391	828.50925	0	0	Cheilodactylidae	Dactylophora	nigricans	37377005	1	AD	Passing			
