"sample","latitude","longitude","date","time","site","location","successful.count","fov.Facing Down","fov.Limited","fov.Open","mean.relief","sd.relief","broad.Consolidated","broad.Macroalgae","broad.Sponges","broad.Stony corals","broad.Unconsolidated"
"NF_226",-29.01701786,168.0201645,20210722,12:51:00,"Norfolk Island","Norfolk Island","Yes",0,0,100,0,0,0,0,0,0,100
"NF_227",-29.0997252,167.9474285,20210723,10:58:00,"Norfolk Island","Norfolk Island","Yes",0,0,100,1,0,0,0,0,100,0
"NF_232",-29.09238649,167.9660652,20210723,08:25:00,"Norfolk Island","Norfolk Island","Yes",0,0,100,2.53846153846154,1.05003052458683,0,0,0,92.3076923076923,7.69230769230769
"NF_237",-29.1004057,167.9429062,20210723,11:17:00,"Norfolk Island","Norfolk Island","Yes",0,0,100,0,0,0,0,0,100,0
"NF_246",-29.08052313,167.9303015,20210723,14:47:00,"Norfolk Island","Norfolk Island","Yes",0,0,100,0,0,0,0,0,0,100
"NF_247",-29.08484602,167.965464,20210723,07:50:00,"Norfolk Island","Norfolk Island","Yes",0,0,100,0.75,0.452267016866645,33.3333333333333,8.33333333333333,0,41.6666666666667,16.6666666666667
"NF_253",-29.09375815,167.959096,20210723,08:49:00,"Norfolk Island","Norfolk Island","Yes",0,0,100,0,0,0,60,0,40,0
"NF_256",-29.09351877,167.9429561,20210723,09:55:00,"Norfolk Island","Norfolk Island","Yes",0,0,100,0,0,0,0,0,0,100
"NF_261",-29.09691334,167.9418693,20210723,10:43:00,"Norfolk Island","Norfolk Island","No",0,0,100,0.1,0.316227766016838,10,0,0,0,90
"NF_262",-29.08005669,167.9371541,20210723,14:42:00,"Norfolk Island","Norfolk Island","Yes",0,0,100,0,0,0,0,0,0,100
