OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
FISPZS3-4	1.09	2024 05 20 14:19:19	D:\05-05-2021\	FISPZS3-4.EMObs
FISPZS4-1	1.09	2024 05 20 14:19:19	D:\28-04-2021\	FISPZS4-1.EMObs
FISPZS4-2	1.09	2024 05 20 14:19:19	D:\28-04-2021\	FISPZS4-2.EMObs
FISPZS4-3	1.09	2024 05 20 14:19:19	I:\28-04-2021\	FISPZS4-3.EMObs
FISPZS4-4	1.09	2024 05 20 14:19:19	D:\28-04-2021\	FISPZS4-4.EMObs
FISZS1-1	1.09	2024 05 20 14:19:19	I:\28-04-2021\	FISZS1-1.EMObs
FISZS1-3	1.09	2024 05 20 14:19:19	D:\28-04-2021\	FISZS1-3.EMObs
FISZS1-4	1.09	2024 05 20 14:19:19	G:\05-05-2021\	FISZS1-4.EMObs
FISZS2-1	1.09	2024 05 20 14:19:19	I:\28-04-2021\	FISZS2-1.EMObs
FISZS2-2	1.09	2024 05 20 14:19:19	F:\05-05-2021\	FISZS2-2.EMObs
FISZS2-3	1.09	2024 05 20 14:19:19	F:\05-05-2021\	FISZS2-3.EMObs
FISZS2-4	1.09	2024 05 20 14:19:19	D:\05-05-2021\	FISZS2-4.EMObs
GUZ(C)S1-2	1.09	2024 05 20 14:19:19	I:\02-05-2021\	GUZ(C)S1-2.EMObs
GUZ(C)S1-3	1.09	2024 05 20 14:19:19	I:\02-05-2021\	GUZ(C)S1-3.EMObs
GUZ(C)S1-4	1.09	2024 05 20 14:19:19	I:\02-05-2021\	GUZ(C)S1-4.EMObs
GUZ(ER)S1-1	1.09	2024 05 20 14:19:19	I:\01-05-2021\	GUZ(ER)S1-1.EMObs
GUZ(ER)S1-2	1.09	2024 05 20 14:19:19	D:\01-05-2021\	GUZ(ER)S1-2.EMObs
GUZ(ER)S1-3	1.09	2024 05 20 14:19:19	I:\01-05-2021\	GUZ(ER)S1-3.EMObs
GUZ(ER)S1-4	1.09	2024 05 20 14:19:19	D:\01-05-2021\	GUZ(ER)S1-4.EMObs
GUZ(ER)S2-1	1.09	2024 05 20 14:19:19	I:\29-04-2021\	GUZ(ER)S2-1.EMObs
GUZ(ER)S2-4	1.09	2024 05 20 14:19:19	I:\29-04-2021\	GUZ(ER)S2-4.EMObs
GUZ(JB)S1-2	1.09	2024 05 20 14:19:19	D:\29-04-2021\	GUZ(JB)S1-2.EMObs
GUZ(JB)S1-4	1.09	2024 05 20 14:19:19	F:\29-04-2021\	GUZ(JB)S1-4.EMObs
