Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Successful.count,Successful.length,Observer.count,Observer.length,Observer
CT01,-32.69378167,152.2241617,20220621,10:00:00,Cabbage Tree Island,Cabbage Tree Island,No-take,18,Yes,Yes,Josh Maloney,Josh Maloney,Josh Maloney
CT02,-32.693725,152.225882,20220621,10:00:00,Cabbage Tree Island,Cabbage Tree Island,No-take,20,Yes,Yes,Josh Maloney,Josh Maloney,Josh Maloney
CT03,-32.69226667,152.2276183,20220621,10:00:00,Cabbage Tree Island,Cabbage Tree Island,No-take,20,Yes,Yes,Josh Maloney,Josh Maloney,Josh Maloney
CT04,-32.687885,152.229162,20220621,10:00:00,Cabbage Tree Island,Cabbage Tree Island,No-take,19,Yes,Yes,Josh Maloney,Josh Maloney,Josh Maloney
CT05,-32.68701667,152.2287933,20220621,11:30:00,Cabbage Tree Island,Cabbage Tree Island,No-take,18,Yes,Yes,Josh Maloney,Josh Maloney,Josh Maloney
CT06,-32.684295,152.22628,20220621,11:30:00,Cabbage Tree Island,Cabbage Tree Island,No-take,14,Yes,Yes,Josh Maloney,Josh Maloney,Josh Maloney
CT07,-32.69322833,152.22367,20220621,11:30:00,Cabbage Tree Island,Cabbage Tree Island,No-take,17,Yes,Yes,Josh Maloney,Josh Maloney,Josh Maloney
CT08,-32.693225,152.226288,20220621,11:30:00,Cabbage Tree Island,Cabbage Tree Island,No-take,18,Yes,Yes,David Harasti,David Harasti,David Harasti
EB01,-32.48571833,152.5110033,20220623,12:30:00,Seal Rocks,Edith Breaker,Fished,30,Yes,Yes,Luke Housefield,Luke Housefield,Luke Housefield
EB02,-32.48747667,152.511125,20220623,12:30:00,Seal Rocks,Edith Breaker,Fished,24,Yes,Yes,Luke Housefield,Luke Housefield,Luke Housefield
EB03,-32.48843333,152.5098967,20220623,12:30:00,Seal Rocks,Edith Breaker,Fished,30,Yes,Yes,Luke Housefield,Luke Housefield,Luke Housefield
EB04,-32.48291667,152.5095417,20220623,12:30:00,Seal Rocks,Edith Breaker,Fished,28,Yes,Yes,Luke Housefield,Luke Housefield,Luke Housefield
EB05,-32.47781167,152.5054017,20220623,11:30:00,Seal Rocks,Edith Breaker,Fished,31,Yes,Yes,Chris Gallen,Chris Gallen,Chris Gallen
EB06,-32.48039333,152.5010717,20220623,11:30:00,Seal Rocks,Edith Breaker,Fished,29,Yes,Yes,David Harasti,David Harasti,David Harasti
EB07,-32.491205,152.5105517,20220623,11:30:00,Seal Rocks,Edith Breaker,Fished,29,Yes,Yes,David Harasti,David Harasti,David Harasti
EB08,-32.48151667,152.5091183,20220623,11:30:00,Seal Rocks,Edith Breaker,Fished,20,Yes,Yes,David Harasti,David Harasti,David Harasti
FIHPZ01,-32.73970833,152.2071,20221019,9:30:00,Fingal Island,Fingal Island,Fished,26,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
FIHPZ02,-32.74205833,152.20863,20221019,9:30:00,Fingal Island,Fingal Island,Fished,28,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
FIHPZ04,-32.74599167,152.207715,20221019,9:30:00,Fingal Island,Fingal Island,Fished,25,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
FIHPZ05,-32.74175,152.2071683,20221019,9:30:00,Fingal Island,Fingal Island,Fished,23,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
FIHPZ06,-32.753235,152.2051333,20221019,10:30:00,Fingal Island,Fingal Island,Fished,28,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
FIHPZ07,-32.750685,152.2074283,20221019,10:30:00,Fingal Island,Fingal Island,Fished,25,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
FIHPZ08,-32.75215,152.20568,20221019,10:30:00,Fingal Island,Fingal Island,Fished,30,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
FIHPZ09,-32.75175333,152.20654,20221019,10:30:00,Fingal Island,Fingal Island,Fished,28,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
