Camera Details

Generated: Wednesday 30 August 2023 11:27:17

OpCode	TapeReader	Depth	Comment	Latitude	Longitude	Date	Time	MPAStatus	Site	Year	Spare	Camera	Index	Descriptor	Image rows	Image columns	Focal length (mm)	x pixel size (mm)	y pixel size (mm)	X mm	Y mm	Z mm	Omega (degrees)	Phi (degrees)	Kappa (degrees)
APO_001	Scott Gray	-64.82		-38.92799828	143.5194884	14/06/2021	10:11	MP	Apollo Bay	2021	Lights	Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.92480	0.002850	0.002850	-300.738	0.000	0.000	-0.119	-5.852	-0.601
APO_001	Scott Gray	-64.82		-38.92799828	143.5194884	14/06/2021	10:11	MP	Apollo Bay	2021	Lights	Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.92219	0.002850	0.002850	300.738	0.000	0.000	0.119	3.975	-0.405
APO_002	Scott Gray	-54.78		-38.9138801	143.5098785	14/06/2021	9:50	MP	Apollo Bay	2021	Rubble, Invertebrates, Sand	Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93530	0.002850	0.002850	-301.579	0.000	0.000	0.332	-5.284	1.255
APO_002	Scott Gray	-54.78		-38.9138801	143.5098785	14/06/2021	9:50	MP	Apollo Bay	2021	Rubble, Invertebrates, Sand	Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93468	0.002850	0.002850	301.579	0.000	0.000	-0.332	4.247	1.002
APO_003	Scott Gray	59.78	Lights	-38.92494358	143.5159757	14/06/2021	10:07	Fished	Apollo Bay CMP	2021	Sand, Sponge	Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.92549	0.002850	0.002850	-300.969	0.000	0.000	-0.327	-5.156	-0.431
APO_003	Scott Gray	59.78	Lights	-38.92494358	143.5159757	14/06/2021	10:07	Fished	Apollo Bay CMP	2021	Sand, Sponge	Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93874	0.002850	0.002850	300.969	0.000	0.000	0.327	5.152	0.826
APO_004	Scott Gray	54.34		-38.91826939	143.5171301	14/06/2021	9:44	Fished	Apollo Bay CMP	2021	Reef, Sponge	Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93465	0.002850	0.002850	-300.600	0.000	0.000	0.142	-5.590	-1.241
APO_004	Scott Gray	54.34		-38.91826939	143.5171301	14/06/2021	9:44	Fished	Apollo Bay CMP	2021	Reef, Sponge	Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93609	0.002850	0.002850	300.600	0.000	0.000	-0.142	4.522	0.859
APO_005	Scott Gray	69.54	Lights	-38.9289975	143.524945	14/06/2021	10:15	Fished	Apollo Bay CMP	2021	Sand, Sponge	Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.91882	0.002850	0.002850	-301.515	0.000	0.000	-0.327	-5.318	1.380
APO_005	Scott Gray	69.54	Lights	-38.9289975	143.524945	14/06/2021	10:15	Fished	Apollo Bay CMP	2021	Sand, Sponge	Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93659	0.002850	0.002850	301.515	0.000	0.000	0.327	4.520	1.432
APO_006	Scott Gray	53.85	Lights	-38.91451806	143.5048102	15/06/2021	14:12	Fished	Apollo Bay CMP	2021	Reef, Sponge	Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.91882	0.002850	0.002850	-301.515	0.000	0.000	-0.327	-5.318	1.380
APO_006	Scott Gray	53.85	Lights	-38.91451806	143.5048102	15/06/2021	14:12	Fished	Apollo Bay CMP	2021	Reef, Sponge	Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93659	0.002850	0.002850	301.515	0.000	0.000	0.327	4.520	1.432
