Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Others,Comments
APO_001,-38.92799828,143.5194884,20210614,10:11:00,Apollo CMR,Fished,Apollo CMR,64.82,Scott Gray,Yes,Yes,,"Lights, queen snapper, beautiful habitat , lobster"
APO_002,-38.9138801,143.5098785,20210614,9:50:00,Apollo CMR,Fished,Apollo CMR,54.78,Scott Gray,Yes,Yes,,
APO_003,-38.92494358,143.5159757,20210614,10:07:00,Apollo CMR,Fished,Apollo CMR,59.78,Scott Gray,Yes,Yes,,"Lights, brownstriped leatherjacket"
APO_004,-38.91826939,143.5171301,20210614,9:44:00,Apollo CMR,Fished,Apollo CMR,54.34,Scott Gray,Yes,Yes,,Good drop
APO_005,-38.9289975,143.524945,20210614,10:15:00,Apollo CMR,Fished,Apollo CMR,69.54,Scott Gray,Yes,Yes,,Lights
APO_006,-38.91451806,143.5048102,20210614,9:54:00,Apollo CMR,Fished,Apollo CMR,53.85,Scott Gray,Yes,Yes,,Fail
APO_007,-38.91446896,143.5174201,20210614,9:47:00,Apollo CMR,Fished,Apollo CMR,54.08,Scott Gray,Yes,Yes,,
APO_008,-38.91964739,143.5218293,20210614,9:42:00,Apollo CMR,Fished,Apollo CMR,63.26,Scott Gray,Yes,Yes,,Snapper
APO_009,-38.92049873,143.5104578,20210614,9:59:00,Apollo CMR,Fished,Apollo CMR,52.99,Scott Gray,Yes,Yes,,
APO_010,-38.92656863,143.5080651,20210614,10:03:00,Apollo CMR,Fished,Apollo CMR,58.74,Scott Gray,Yes,Yes,,"Lights, good drop diverse, close to 003 but at least 250m apart"
APO_011,-38.93760736,143.5217666,20210614,12:00:00,Apollo CMR,Fished,Apollo CMR,70.95,Scott Gray,Yes,No,,Cameras in wrong side of rig
APO_012,-38.94150569,143.508107,20210614,12:48:00,Apollo CMR,Fished,Apollo CMR,66.48,Scott Gray,Yes,Yes,,Lights
APO_013,-38.95304222,143.5166972,20210614,12:08:00,Apollo CMR,Fished,Apollo CMR,75.09,Scott Gray,Yes,Yes,,Lights
APO_014,-38.9446462,143.5145632,20210614,12:25:00,Apollo CMR,Fished,Apollo CMR,64.98,Scott Gray,Yes,Yes,,
APO_015,-38.95322675,143.5110588,20210614,12:11:00,Apollo CMR,Fished,Apollo CMR,70.1,Scott Gray,Yes,Yes,,
APO_016,-38.94471013,143.5032129,20210614,12:19:00,Apollo CMR,Fished,Apollo CMR,65.28,Scott Gray,Yes,Yes,,
APO_017,-38.94677217,143.5224181,20210614,12:04:00,Apollo CMR,Fished,Apollo CMR,75.15,Scott Gray,Yes,Yes,,Lights
APO_018,-38.95379492,143.5065876,20210615,14:00:00,Apollo CMR,Fished,Apollo CMR,69.46,Scott Gray,Yes,Yes,,Lights
APO_019,-38.9383985,143.5047276,20210614,12:45:00,Apollo CMR,Fished,Apollo CMR,61.05,Scott Gray,Yes,Yes,,"Lights, cameras swapped over after clapper then reclapped"
APO_020,-38.94549409,143.5086085,20210614,12:22:00,Apollo CMR,Fished,Apollo CMR,68.75,Scott Gray,Yes,Yes,,
APO_021,-38.92904778,143.5432448,20210615,13:46:00,Apollo CMR,Fished,Apollo CMR,76.93,Scott Gray,Yes,Yes,,Lights
APO_022,-38.9200127,143.5455736,20210614,14:10:00,Apollo CMR,Fished,Apollo CMR,74.26,Scott Gray,Yes,Yes,,Lights
