Filename,Frame,Time (mins),Image row,Image col,Date,Location,Site #,Transect #,Latitude,Longitude,Rugosity,Depth,Collector,Fishing status,Spare,Spare,Frame info 1,Frame info 2,Frame info 3,Frame info 4,Frame info 5,Frame info 6,CATAMI_L2_L3,CATAMI_L4,CATAMI_L5,Relief,,,,,Radius %
INV_DC_001.jpg,0,,886,973,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,53.9
INV_DC_001.jpg,0,,796,149,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,94.4
INV_DC_001.jpg,0,,1054,1796,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,16.2
INV_DC_001.jpg,0,,925,3425,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,77.9
INV_DC_001.jpg,0,,1041,2702,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,41.4
INV_DC_001.jpg,0,,968,3391,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,75.6
INV_DC_001.jpg,0,,982,3809,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,96.1
INV_DC_001.jpg,0,,696,3146,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,69
INV_DC_001.jpg,0,,790,2842,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,53.4
INV_DC_001.jpg,0,,860,2673,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,44.3
