Sample,Site,Latitude,Longitude,Location,Date,Depth,Time,Successful.count,Successful.length,Observer,Observer.length,Status,DBCA_Zone,,
SBMP_20180328_S21_4_BRUV,S21,-25.587181,113.578606,Shark Bay,20180328,3,9:33:00,Yes,Yes,Caprice,Tanika,Fished,General Use (IUCN II),,1
SBMP_20180328_S22_3_BRUV,S22,-25.571752,113.52944,Shark Bay,20180328,3,10:32:00,Yes,No,Tanika,NA,Fished,General Use (IUCN II),,1
SBMP_20180328_S22_4_BRUV,S22,-25.570037,113.526289,Shark Bay,20180328,3,10:34:00,Yes,Yes,Caprice,Tanika,Fished,General Use (IUCN II),,1
SBMP_20180328_S22_5_BRUV,S22,-25.566299,113.524908,Shark Bay,20180328,3,10:37:00,Yes,Yes,Caprice,Tanika,Fished,General Use (IUCN II),,1
SBMP_20180328_S23_1_BRUV,S23,-25.823159,113.819346,Shark Bay,20180328,3.5,14:30:00,Yes,Yes,Caprice,Tanika,Fished,General Use (IUCN II),,1
SBMP_20180328_S23_2_BRUV,S23,-25.820579,113.817688,Shark Bay,20180328,3.5,14:32:00,Yes,Yes,Caprice,Tanika,Fished,General Use (IUCN II),,1
SBMP_20180328_S23_3_BRUV,S23,-25.817923,113.815576,Shark Bay,20180328,3.5,14:36:00,Yes,Yes,Caprice,Tanika,Fished,General Use (IUCN II),,1
SBMP_20180328_S24_5_BRUV,S24,-25.788763,113.799181,Shark Bay,20180328,4.5,14:59:00,Yes,Yes,Caprice,Tanika,Fished,General Use (IUCN II),,1
SBMP_20180329_S25_2_BRUV,S25,-25.666496,113.937532,Shark Bay,20180329,5,11:26:00,Yes,Yes,Caprice,Tanika,No-take,Sanctuary Zone (IUCN IA),,1
SBMP_20180329_S26_3_BRUV,S26,-25.636767,113.914957,Shark Bay,20180329,3,11:50:00,Yes,Yes,Caprice,Tanika,No-take,Sanctuary Zone (IUCN IA),,1
SBMP_20180329_S26_4_BRUV,S26,-25.635658,113.912197,Shark Bay,20180329,3,11:53:00,Yes,Yes,Caprice,Tanika,No-take,Sanctuary Zone (IUCN IA),,1
SBMP_20180329_S26_5_BRUV,S26,-25.631966,113.908918,Shark Bay,20180329,3,11:59:00,Yes,Yes,Caprice,Tanika,Fished,Special Purpose Zone (Seagrass Protection) (IUCN IV),,1
SBMP_20180327_S20_3_BRUV,S20,-25.68666667,113.3498,Shark Bay,20180327,4,14:32:00,Yes,Yes,Caprice,Tanika,Fished,General Use (IUCN II),,1
