Camera Details

Generated: Thursday 02 November 2023 13:11:58

OpCode	TapeReader	Depth	Comment	Latitude	Longitude	Date	Time	MPAStatus	Site	Year	Spare	Camera	Index	Descriptor	Image rows	Image columns	Focal length (mm)	x pixel size (mm)	y pixel size (mm)	X mm	Y mm	Z mm	Omega (degrees)	Phi (degrees)	Kappa (degrees)
PPB001	Scott Gray	5		-38.196919	144.71415	17/02/2022	8:55	Fished	Port Phillip Bay	2022	Sand, algae	Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93955	0.002850	0.002850	-300.993	0.000	0.000	-0.476	-5.228	0.083
PPB001	Scott Gray	5		-38.196919	144.71415	17/02/2022	8:55	Fished	Port Phillip Bay	2022	Sand, algae	Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93571	0.002850	0.002850	300.993	0.000	0.000	0.476	5.136	1.192
PPB002	Scott Gray	4.5		-37.866336	144.875823	4/04/2022	13:20	No Take	Port Phillip Bay	2022	Reef, algae	Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94530	0.002850	0.002850	-301.083	0.000	0.000	-0.242	-5.041	-0.546
PPB002	Scott Gray	4.5		-37.866336	144.875823	4/04/2022	13:20	No Take	Port Phillip Bay	2022	Reef, algae	Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.92343	0.002850	0.002850	301.083	0.000	0.000	0.242	4.136	1.418
PPB003	Scott Gray	1.1		-38.359357	144.790212	15/02/2022	15:24	Fished	Port Phillip Bay	2022	Sand	Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93730	0.002850	0.002850	-301.667	0.000	0.000	0.202	-4.580	2.158
PPB003	Scott Gray	1.1		-38.359357	144.790212	15/02/2022	15:24	Fished	Port Phillip Bay	2022	Sand	Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.95002	0.002850	0.002850	301.667	0.000	0.000	-0.202	5.216	0.009
PPB004	Scott Gray	6.4		-38.29667168	144.61299	9/04/2022	13:22	Not recorded	Port Phillip Bay	2022	Reef, macroalgae	Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93550	0.002850	0.002850	-301.182	0.000	0.000	-0.069	-5.280	0.161
PPB004	Scott Gray	6.4		-38.29667168	144.61299	9/04/2022	13:22	Not recorded	Port Phillip Bay	2022	Reef, macroalgae	Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93508	0.002850	0.002850	301.182	0.000	0.000	0.069	4.515	0.620
PPB005	Scott Gray	7.8		-38.29406433	144.59827	9/04/2022	13:15	Not recorded	Port Phillip Bay	2022	Reef, macroalgae	Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93955	0.002850	0.002850	-300.993	0.000	0.000	-0.476	-5.228	0.083
PPB005	Scott Gray	7.8		-38.29406433	144.59827	9/04/2022	13:15	Not recorded	Port Phillip Bay	2022	Reef, macroalgae	Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93571	0.002850	0.002850	300.993	0.000	0.000	0.476	5.136	1.192
PPB006	Scott Gray	9.2		-38.29636099	144.60595	9/04/2022	13:19	Not recorded	Port Phillip Bay	2022	Reef, macroalgae	Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93730	0.002850	0.002850	-301.667	0.000	0.000	0.202	-4.580	2.158
PPB006	Scott Gray	9.2		-38.29636099	144.60595	9/04/2022	13:19	Not recorded	Port Phillip Bay	2022	Reef, macroalgae	Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.95002	0.002850	0.002850	301.667	0.000	0.000	-0.202	5.216	0.009
PPB007	Darcy Cutter	13.2		-38.32010002	144.65013	04/03/2022	11.01	No Take 	Port Phillip bay 	2022		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94530	0.002850	0.002850	-301.083	0.000	0.000	-0.242	-5.041	-0.546
