Dot Point Measurements

Generated: Tuesday 27 May 2025 08:35:24

Filename	Frame	Time (mins)	Image row	Image col											campaignid	relief_annotated	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	level_2	level_3	level_4	level_5	scientific	qualifiers	check		Radius %
FIG-BV-02_1_01_20240525_BRUV_5_L23_GX010050.MP4_0028676.jpg	      0		875	901											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-02	1					Macroalgae								8.0
FIG-BV-02_1_01_20240525_BRUV_5_L23_GX010050.MP4_0028676.jpg	      0		846	1735											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-02	1					Unscorable								84.3
FIG-BV-02_1_01_20240525_BRUV_5_L23_GX010050.MP4_0028676.jpg	      0		996	540											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-02	1					Macroalgae	Erect coarse branching							48.9
FIG-BV-02_1_01_20240525_BRUV_5_L23_GX010050.MP4_0028676.jpg	      0		962	203											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-02	1					Unscorable								85.0
FIG-BV-02_1_01_20240525_BRUV_5_L23_GX010050.MP4_0028676.jpg	      0		672	1689											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-02	1					Unscorable								82.7
FIG-BV-02_1_01_20240525_BRUV_5_L23_GX010050.MP4_0028676.jpg	      0		929	873											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-02	1					Macroalgae								11.6
FIG-BV-02_1_01_20240525_BRUV_5_L23_GX010050.MP4_0028676.jpg	      0		854	600											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-02	1					Unscorable								41.1
FIG-BV-02_1_01_20240525_BRUV_5_L23_GX010050.MP4_0028676.jpg	      0		1009	887											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-02	1					Macroalgae	Large canopy-forming	Brown		Scytothalia dorycarpa				15.9
FIG-BV-02_1_01_20240525_BRUV_5_L23_GX010050.MP4_0028676.jpg	      0		983	1135											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-02	1					Macroalgae								20.6
FIG-BV-02_1_01_20240525_BRUV_5_L23_GX010050.MP4_0028676.jpg	      0		941	1320											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-02	1					Macroalgae	Erect coarse branching							38.7
