Dot Point Measurements

Generated: Tuesday 27 May 2025 08:57:55

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	campaignid	relief_annotated	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	level_2	level_3	level_4	level_5	scientific	qualifiers			Radius %
FIG-BV-01_1_X.JPG	      0		613	561											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-01	1													100.0
FIG-BV-01_1_X.JPG	      0		1828	561											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-01	1													80.2
FIG-BV-01_1_X.JPG	      0		3044	561											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-01	1					Relief	Low / moderate	Low (<1m)	1					80.2
FIG-BV-01_1_X.JPG	      0		4259	561											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-01	1					Relief	Low / moderate	Low (<1m)	1					100.0
FIG-BV-01_1_X.JPG	      0		613	1672											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-01	1													74.3
FIG-BV-01_1_X.JPG	      0		1828	1672											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-01	1													44.1
FIG-BV-01_1_X.JPG	      0		3044	1672											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-01	1					Relief	Low / moderate	Low (<1m)	1					44.1
FIG-BV-01_1_X.JPG	      0		4259	1672											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-01	1					Relief	Low / moderate	Low (<1m)	1					74.3
FIG-BV-01_1_X.JPG	      0		613	2784											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-01	1													63.4
FIG-BV-01_1_X.JPG	      0		1828	2784											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-01	1													21.1
FIG-BV-01_1_X.JPG	      0		3044	2784											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-01	1					Relief	Low / moderate	Low (<1m)	1					21.1
FIG-BV-01_1_X.JPG	      0		4259	2784											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-01	1					Relief	High	High (>3m)	3					63.4
FIG-BV-01_1_X.JPG	      0		613	3896											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-01	1													74.3
FIG-BV-01_1_X.JPG	      0		1828	3896											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-01	1													44.1
FIG-BV-01_1_X.JPG	      0		3044	3896											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-01	1					Relief	Low / moderate	Low (<1m)	1					44.1
FIG-BV-01_1_X.JPG	      0		4259	3896											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-01	1					Relief	High	High (>3m)	3					74.3
FIG-BV-01_1_X.JPG	      0		613	5007											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-01	1													100.0
FIG-BV-01_1_X.JPG	      0		1828	5007											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-01	1													80.2
FIG-BV-01_1_X.JPG	      0		3044	5007											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-01	1					Relief	Low / moderate	Moderate (1-3m)	2					80.2
FIG-BV-01_1_X.JPG	      0		4259	5007											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-01	1					Relief	Low / moderate	Low (<1m)	1					100.0
FIG-BV-02-1_X.JPG	      0		613	561											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-02	1													100.0
FIG-BV-02-1_X.JPG	      0		1828	561											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-02	1													80.2
FIG-BV-02-1_X.JPG	      0		3044	561											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-02	1					Relief	Low / moderate	Moderate (1-3m)	2					80.2
FIG-BV-02-1_X.JPG	      0		4259	561											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-02	1					Relief	High	High (>3m)	3					100.0
FIG-BV-02-1_X.JPG	      0		613	1672											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-02	1													74.3
FIG-BV-02-1_X.JPG	      0		1828	1672											2024-05_Wudjari_stereo-BRUVs	Yes	FIG-BV-02	1													44.1
